marker1,marker2,marker3,marker4,marker5,marker6,marker7,Patch filename,label,EM
0,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0026_row_48567_column_117128,0,0
-1,1,-1,-1,0,-1,-1,CasoHEProstata_A_0027_row_12685_column_102940,1,0
3,-1,-1,-1,-1,-1,3,CasoHEProstata_A_0027_row_12685_column_109084,3,3
-1,-1,0,-1,-1,0,-1,CasoHEProstata_A_0027_row_12685_column_111132,0,0
-1,1,-1,-1,-1,3,-1,CasoHEProstata_A_0027_row_14733_column_102940,3,2
-1,-1,0,-1,-1,0,-1,CasoHEProstata_A_0027_row_14733_column_104988,0,0
-1,-1,0,-1,2,-1,-1,CasoHEProstata_A_0027_row_14733_column_107036,2,2
3,-1,-1,2,-1,-1,-1,CasoHEProstata_A_0027_row_14733_column_109084,3,3
-1,-1,-1,0,-1,-1,2,CasoHEProstata_A_0027_row_14733_column_111132,2,0
-1,2,-1,2,-1,-1,-1,CasoHEProstata_A_0027_row_16781_column_102940,2,2
1,-1,-1,-1,1,-1,-1,CasoHEProstata_A_0027_row_16781_column_109084,1,1
-1,2,-1,-1,2,3,-1,CasoHEProstata_A_0027_row_18829_column_100892,2,3
3,-1,-1,2,-1,-1,-1,CasoHEProstata_A_0027_row_18829_column_102940,3,3
-1,1,-1,-1,-1,2,-1,CasoHEProstata_A_0027_row_20877_column_102940,2,2
3,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0027_row_22925_column_100892,3,0
-1,1,-1,-1,-1,-1,3,CasoHEProstata_A_0027_row_22925_column_102940,3,2
-1,-1,3,2,-1,-1,-1,CasoHEProstata_A_0027_row_24973_column_100892,3,3
1,1,-1,-1,2,-1,-1,CasoHEProstata_A_0027_row_24973_column_102940,1,2
-1,-1,-1,2,-1,-1,3,CasoHEProstata_A_0027_row_24973_column_98844,2,3
0,-1,-1,-1,-1,-1,2,CasoHEProstata_A_0027_row_27021_column_100892,2,0
-1,1,-1,-1,-1,0,-1,CasoHEProstata_A_0027_row_27021_column_98844,1,0
-1,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0037_row_11217_column_151481,0,0
0,-1,-1,-1,-1,-1,3,CasoHEProstata_A_0037_row_13265_column_149433,3,0
3,-1,-1,-1,0,0,-1,CasoHEProstata_A_0037_row_17361_column_151481,0,0
3,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0037_row_17361_column_153529,3,3
-1,-1,-1,0,-1,-1,3,CasoHEProstata_A_0044_row_15919_column_103123,3,0
-1,-1,-1,-1,-1,0,3,CasoHEProstata_A_0044_row_15919_column_105171,3,0
-1,-1,-1,3,3,-1,-1,CasoHEProstata_A_0044_row_54831_column_99027,3,3
-1,0,-1,-1,0,-1,-1,CasoHEProstata_A_0044_row_9775_column_107219,0,0
-1,0,-1,2,-1,-1,-1,CasoHEProstata_A_0047_row_32268_column_11236,2,1
-1,0,0,-1,-1,-1,-1,CasoHEProstata_A_0047_row_32268_column_5092,0,0
0,-1,-1,-1,-1,0,-1,CasoHEProstata_A_0047_row_32268_column_7140,0,0
-1,2,2,-1,-1,-1,-1,CasoHEProstata_A_0047_row_34316_column_11236,2,2
2,-1,1,-1,-1,1,-1,CasoHEProstata_A_0047_row_34316_column_13284,1,1
3,-1,-1,-1,-1,0,-1,CasoHEProstata_A_0047_row_34316_column_5092,3,0
-1,-1,-1,-1,-1,2,3,CasoHEProstata_A_0047_row_34316_column_7140,2,2
2,1,-1,-1,1,-1,-1,CasoHEProstata_A_0047_row_36364_column_13284,1,2
-1,-1,0,0,-1,-1,-1,CasoHEProstata_A_0047_row_36364_column_5092,0,0
-1,-1,0,-1,1,-1,-1,CasoHEProstata_A_0047_row_36364_column_7140,1,1
-1,-1,2,-1,1,-1,-1,CasoHEProstata_A_0047_row_38412_column_13284,2,2
2,-1,-1,-1,-1,-1,2,CasoHEProstata_A_0047_row_38412_column_15332,2,2
-1,0,0,-1,-1,-1,-1,CasoHEProstata_A_0047_row_38412_column_7140,0,0
-1,-1,2,2,-1,-1,-1,CasoHEProstata_A_0047_row_40460_column_13284,2,2
2,1,-1,-1,-1,-1,2,CasoHEProstata_A_0047_row_40460_column_15332,2,2
3,1,-1,-1,1,-1,-1,CasoHEProstata_A_0047_row_42508_column_13284,1,2
-1,1,-1,1,-1,-1,-1,CasoHEProstata_A_0047_row_42508_column_15332,1,1
-1,-1,-1,2,-1,-1,2,CasoHEProstata_A_0047_row_44556_column_13284,2,2
2,-1,-1,-1,1,-1,-1,CasoHEProstata_A_0047_row_44556_column_15332,1,2
-1,0,-1,0,-1,-1,-1,CasoHEProstata_A_0047_row_44556_column_7140,0,0
-1,1,2,-1,-1,-1,-1,CasoHEProstata_A_0047_row_46604_column_13284,2,2
2,-1,-1,-1,-1,-1,-1,CasoHEProstata_A_0047_row_46604_column_15332,2,0
1,2,-1,-1,-1,-1,-1,CasoHEProstata_A_0047_row_46604_column_7140,2,2
-1,1,-1,-1,1,-1,-1,CasoHEProstata_A_0047_row_48652_column_13284,1,1
0,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0047_row_48652_column_15332,0,0
-1,-1,1,-1,-1,1,-1,CasoHEProstata_A_0047_row_50700_column_13284,1,1
-1,1,2,-1,-1,-1,-1,CasoHEProstata_A_0047_row_50700_column_15332,2,2
2,-1,-1,-1,1,-1,-1,CasoHEProstata_A_0047_row_52748_column_15332,1,2
1,-1,-1,1,-1,-1,-1,CasoHEProstata_A_0047_row_54796_column_13284,1,1
-1,-1,1,-1,-1,2,-1,CasoHEProstata_A_0047_row_54796_column_15332,2,1
-1,1,-1,0,-1,-1,-1,CasoHEProstata_A_0047_row_58892_column_13284,1,1
-1,-1,1,-1,1,-1,-1,CasoHEProstata_A_0047_row_58892_column_15332,1,1
-1,-1,-1,-1,-1,-1,2,CasoHEProstata_A_0047_row_60940_column_13284,2,0
-1,-1,-1,1,-1,1,-1,CasoHEProstata_A_0047_row_60940_column_15332,1,1
-1,-1,-1,1,-1,-1,2,CasoHEProstata_A_0047_row_60940_column_17380,2,1
2,-1,-1,-1,-1,-1,2,CasoHEProstata_A_0047_row_62988_column_15332,2,2
-1,-1,2,-1,-1,-1,2,CasoHEProstata_A_0047_row_62988_column_17380,2,2
-1,-1,1,-1,-1,-1,2,CasoHEProstata_A_0047_row_65036_column_15332,2,1
-1,-1,-1,-1,1,-1,-1,CasoHEProstata_A_0047_row_65036_column_17380,1,1
1,-1,-1,-1,1,-1,-1,CasoHEProstata_A_0047_row_65036_column_19428,1,1
-1,-1,2,-1,-1,-1,1,CasoHEProstata_A_0047_row_67084_column_17380,2,1
2,-1,-1,-1,1,-1,-1,CasoHEProstata_A_0048_row_33377_column_90073,1,2
-1,1,-1,0,-1,1,-1,CasoHEProstata_A_0048_row_33377_column_92121,1,1
-1,-1,0,0,-1,-1,-1,CasoHEProstata_A_0048_row_35425_column_90073,0,0
-1,-1,1,-1,1,-1,-1,CasoHEProstata_A_0048_row_35425_column_92121,1,1
-1,-1,-1,1,-1,1,-1,CasoHEProstata_A_0048_row_39521_column_92121,1,1
-1,-1,-1,-1,1,-1,2,CasoHEProstata_A_0049_row_9287_column_10177,2,1
-1,-1,0,0,-1,-1,-1,CasoHEProstata_A_0050_row_19756_column_106548,0,0
-1,1,-1,-1,1,-1,-1,CasoHEProstata_A_0050_row_19756_column_108596,1,1
-1,1,-1,1,1,-1,-1,CasoHEProstata_A_0050_row_21804_column_106548,1,1
-1,-1,2,-1,-1,-1,-1,CasoHEProstata_A_0051_row_14336_column_100352,2,2
-1,1,0,-1,-1,-1,-1,CasoHEProstata_A_0051_row_14336_column_102400,1,0
1,-1,-1,2,-1,3,-1,CasoHEProstata_A_0051_row_16384_column_94208,3,2
-1,2,2,-1,-1,-1,-1,CasoHEProstata_A_0051_row_18432_column_100352,2,2
-1,-1,2,-1,2,3,-1,CasoHEProstata_A_0051_row_18432_column_102400,2,2
-1,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0051_row_18432_column_104448,0,0
2,2,-1,-1,-1,-1,-1,CasoHEProstata_A_0051_row_18432_column_96256,2,2
-1,-1,-1,3,-1,-1,-1,CasoHEProstata_A_0051_row_18432_column_98304,3,3
2,-1,-1,-1,-1,2,-1,CasoHEProstata_A_0051_row_20480_column_100352,2,2
1,2,-1,2,2,2,-1,CasoHEProstata_A_0051_row_20480_column_106496,2,2
-1,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0051_row_20480_column_88064,0,0
1,-1,3,-1,2,3,-1,CasoHEProstata_A_0051_row_20480_column_92160,3,3
-1,-1,3,-1,-1,3,-1,CasoHEProstata_A_0051_row_20480_column_96256,3,3
-1,-1,-1,3,-1,-1,-1,CasoHEProstata_A_0051_row_20480_column_98304,3,3
-1,-1,3,3,-1,-1,-1,CasoHEProstata_A_0051_row_22528_column_104448,3,3
-1,-1,-1,-1,3,-1,-1,CasoHEProstata_A_0051_row_22528_column_88064,3,3
-1,-1,3,3,-1,-1,-1,CasoHEProstata_A_0051_row_22528_column_94208,3,3
2,-1,3,-1,2,-1,3,CasoHEProstata_A_0051_row_22528_column_98304,3,3
-1,-1,3,-1,-1,-1,-1,CasoHEProstata_A_0051_row_24576_column_102400,3,3
-1,-1,3,-1,-1,-1,-1,CasoHEProstata_A_0051_row_24576_column_104448,3,3
-1,-1,3,-1,-1,-1,-1,CasoHEProstata_A_0051_row_24576_column_118784,3,3
2,-1,-1,0,-1,0,-1,CasoHEProstata_A_0051_row_24576_column_122880,0,0
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0051_row_24576_column_124928,0,0
2,-1,-1,2,2,-1,2,CasoHEProstata_A_0051_row_24576_column_86016,2,2
2,2,2,3,-1,3,-1,CasoHEProstata_A_0051_row_24576_column_96256,2,3
3,-1,2,0,-1,3,-1,CasoHEProstata_A_0051_row_26624_column_104448,3,3
2,2,3,-1,-1,2,-1,CasoHEProstata_A_0051_row_26624_column_112640,2,2
-1,-1,2,3,-1,-1,-1,CasoHEProstata_A_0051_row_26624_column_114688,2,3
-1,1,3,2,-1,-1,-1,CasoHEProstata_A_0051_row_26624_column_118784,3,2
2,-1,3,2,-1,-1,-1,CasoHEProstata_A_0051_row_26624_column_120832,2,3
-1,-1,2,3,-1,-1,-1,CasoHEProstata_A_0051_row_26624_column_122880,2,3
2,2,2,3,-1,-1,-1,CasoHEProstata_A_0051_row_26624_column_124928,2,3
-1,-1,-1,3,-1,3,-1,CasoHEProstata_A_0051_row_26624_column_96256,3,3
2,-1,3,3,-1,-1,-1,CasoHEProstata_A_0051_row_28672_column_102400,3,3
-1,-1,2,-1,-1,-1,-1,CasoHEProstata_A_0051_row_28672_column_112640,2,2
2,-1,3,3,-1,-1,-1,CasoHEProstata_A_0051_row_28672_column_118784,3,3
-1,-1,3,-1,2,3,-1,CasoHEProstata_A_0051_row_28672_column_120832,3,3
2,2,3,-1,-1,-1,-1,CasoHEProstata_A_0051_row_28672_column_122880,2,3
-1,-1,3,-1,-1,-1,-1,CasoHEProstata_A_0051_row_28672_column_124928,3,3
-1,-1,2,3,-1,-1,-1,CasoHEProstata_A_0051_row_28672_column_126976,2,3
-1,-1,1,-1,0,1,-1,CasoHEProstata_A_0051_row_28672_column_129024,1,1
-1,-1,1,-1,-1,-1,-1,CasoHEProstata_A_0051_row_28672_column_90112,1,1
-1,1,-1,-1,-1,2,-1,CasoHEProstata_A_0051_row_28672_column_92160,2,2
-1,-1,2,-1,-1,-1,-1,CasoHEProstata_A_0051_row_28672_column_94208,2,2
1,-1,-1,-1,-1,2,-1,CasoHEProstata_A_0051_row_30720_column_112640,2,1
-1,-1,-1,-1,2,1,-1,CasoHEProstata_A_0051_row_30720_column_129024,2,2
-1,-1,-1,1,-1,-1,-1,CasoHEProstata_A_0051_row_30720_column_131072,1,1
-1,1,-1,-1,-1,-1,-1,CasoHEProstata_A_0051_row_32768_column_129024,1,1
-1,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0051_row_32768_column_88064,0,0
-1,-1,2,2,-1,3,2,CasoHEProstata_A_0051_row_32768_column_92160,2,2
2,3,3,-1,-1,-1,-1,CasoHEProstata_A_0051_row_34816_column_120832,3,3
-1,-1,3,2,-1,-1,-1,CasoHEProstata_A_0051_row_34816_column_122880,3,3
-1,-1,-1,2,-1,-1,-1,CasoHEProstata_A_0051_row_34816_column_129024,2,2
-1,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0051_row_34816_column_94208,0,0
-1,1,-1,3,2,2,3,CasoHEProstata_A_0051_row_36864_column_118784,3,3
-1,3,-1,3,3,3,-1,CasoHEProstata_A_0051_row_36864_column_120832,3,3
-1,2,-1,2,-1,-1,-1,CasoHEProstata_A_0051_row_38912_column_124928,2,2
1,1,-1,0,-1,2,3,CasoHEProstata_A_0051_row_47104_column_102400,1,2
-1,-1,3,3,-1,-1,-1,CasoHEProstata_A_0051_row_47104_column_126976,3,3
-1,-1,0,2,-1,-1,-1,CasoHEProstata_A_0051_row_47104_column_94208,2,2
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0051_row_49152_column_124928,0,0
-1,-1,3,-1,-1,-1,-1,CasoHEProstata_A_0051_row_51200_column_94208,3,3
-1,-1,-1,-1,-1,-1,2,CasoHEProstata_A_0051_row_51200_column_96256,2,0
-1,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0051_row_53248_column_124928,0,0
2,-1,2,3,-1,3,-1,CasoHEProstata_A_0051_row_53248_column_92160,3,3
-1,2,3,-1,-1,-1,-1,CasoHEProstata_A_0051_row_53248_column_94208,2,3
-1,-1,3,3,-1,-1,-1,CasoHEProstata_A_0051_row_53248_column_96256,3,3
0,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0051_row_55296_column_90112,0,0
-1,2,-1,3,3,-1,-1,CasoHEProstata_A_0051_row_57344_column_104448,3,3
2,-1,-1,3,3,2,-1,CasoHEProstata_A_0051_row_57344_column_94208,3,3
-1,-1,-1,3,-1,-1,-1,CasoHEProstata_A_0051_row_57344_column_98304,3,3
1,-1,-1,0,0,-1,-1,CasoHEProstata_A_0051_row_59392_column_88064,0,0
-1,-1,3,2,-1,-1,-1,CasoHEProstata_A_0051_row_59392_column_94208,3,3
-1,0,0,0,-1,-1,-1,CasoHEProstata_A_0051_row_61440_column_88064,0,0
1,-1,-1,0,-1,0,-1,CasoHEProstata_A_0051_row_61440_column_94208,0,0
-1,-1,-1,2,3,-1,-1,CasoHEProstata_A_0051_row_61440_column_96256,2,3
-1,-1,-1,0,-1,-1,2,CasoHEProstata_A_0053_row_19380_column_119015,2,0
-1,-1,-1,-1,-1,-1,2,CasoHEProstata_A_0053_row_19380_column_121063,2,0
1,-1,-1,-1,-1,-1,2,CasoHEProstata_A_0053_row_21428_column_106727,2,1
-1,-1,-1,-1,1,-1,2,CasoHEProstata_A_0053_row_21428_column_108775,2,1
1,1,-1,-1,-1,-1,-1,CasoHEProstata_A_0053_row_21428_column_110823,1,1
-1,-1,1,-1,-1,1,-1,CasoHEProstata_A_0053_row_21428_column_114919,1,1
-1,-1,2,-1,-1,1,-1,CasoHEProstata_A_0053_row_21428_column_116967,2,1
2,-1,-1,-1,-1,-1,1,CasoHEProstata_A_0053_row_21428_column_119015,1,0
2,-1,1,-1,-1,-1,-1,CasoHEProstata_A_0053_row_21428_column_121063,1,2
-1,-1,1,0,-1,-1,-1,CasoHEProstata_A_0053_row_41908_column_125159,1,1
-1,1,-1,-1,-1,-1,2,CasoHEProstata_A_0053_row_43956_column_123111,2,1
-1,1,-1,-1,-1,-1,2,CasoHEProstata_A_0053_row_43956_column_125159,2,1
-1,-1,-1,0,1,-1,2,CasoHEProstata_A_0056_row_19436_column_105723,2,1
2,-1,-1,-1,1,-1,-1,CasoHEProstata_A_0056_row_19436_column_107771,1,2
-1,-1,-1,-1,1,-1,2,CasoHEProstata_A_0056_row_21484_column_105723,2,1
-1,-1,1,-1,-1,1,-1,CasoHEProstata_A_0056_row_21484_column_107771,1,1
-1,-1,-1,-1,1,-1,2,CasoHEProstata_A_0056_row_23532_column_105723,2,1
-1,1,2,-1,-1,-1,2,CasoHEProstata_A_0056_row_23532_column_107771,2,2
-1,-1,-1,-1,0,0,-1,CasoHEProstata_A_0056_row_23532_column_146683,0,0
-1,1,-1,-1,0,-1,-1,CasoHEProstata_A_0056_row_23532_column_148731,1,0
-1,-1,1,1,-1,-1,-1,CasoHEProstata_A_0056_row_25580_column_105723,1,1
-1,-1,-1,-1,0,-1,-1,CasoHEProstata_A_0056_row_25580_column_109819,0,0
1,-1,-1,-1,-1,0,-1,CasoHEProstata_A_0056_row_25580_column_146683,1,0
-1,-1,1,1,-1,-1,-1,CasoHEProstata_A_0056_row_25580_column_148731,1,1
-1,1,-1,0,-1,-1,-1,CasoHEProstata_A_0056_row_27628_column_107771,1,1
-1,-1,-1,-1,-1,2,2,CasoHEProstata_A_0056_row_27628_column_109819,2,2
1,-1,-1,-1,-1,-1,1,CasoHEProstata_A_0056_row_27628_column_150779,1,1
2,-1,-1,-1,-1,2,-1,CasoHEProstata_A_0056_row_29676_column_109819,2,2
-1,-1,-1,-1,1,1,-1,CasoHEProstata_A_0056_row_31724_column_109819,1,1
0,-1,-1,-1,0,-1,-1,CasoHEProstata_A_0056_row_31724_column_144635,0,0
-1,0,-1,0,-1,-1,-1,CasoHEProstata_A_0056_row_31724_column_146683,0,0
-1,-1,2,0,0,-1,-1,CasoHEProstata_A_0056_row_31724_column_148731,0,2
-1,2,-1,-1,-1,1,2,CasoHEProstata_A_0056_row_33772_column_144635,2,2
-1,-1,-1,-1,1,-1,1,CasoHEProstata_A_0056_row_33772_column_146683,1,1
2,-1,-1,-1,-1,-1,2,CasoHEProstata_A_0056_row_35820_column_109819,2,2
-1,-1,0,-1,-1,-1,2,CasoHEProstata_A_0056_row_35820_column_111867,2,0
-1,-1,0,0,-1,-1,2,CasoHEProstata_A_0056_row_35820_column_144635,0,0
-1,-1,2,-1,-1,1,-1,CasoHEProstata_A_0056_row_35820_column_148731,2,1
1,0,-1,-1,-1,-1,-1,CasoHEProstata_A_0056_row_35820_column_150779,1,0
-1,-1,2,-1,-1,-1,2,CasoHEProstata_A_0056_row_37868_column_109819,2,2
2,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0056_row_37868_column_111867,2,0
-1,-1,0,0,-1,-1,-1,CasoHEProstata_A_0056_row_37868_column_144635,0,0
-1,-1,2,2,-1,-1,2,CasoHEProstata_A_0056_row_37868_column_146683,2,2
-1,1,-1,0,-1,-1,-1,CasoHEProstata_A_0056_row_39916_column_109819,1,1
-1,-1,1,-1,-1,-1,1,CasoHEProstata_A_0056_row_41964_column_154875,1,1
-1,-1,-1,2,2,-1,-1,CasoHEProstata_A_0058_row_51697_column_106889,2,2
-1,-1,0,-1,-1,-1,2,CasoHEProstata_A_0058_row_51697_column_108937,2,0
-1,-1,1,1,-1,-1,-1,CasoHEProstata_A_0058_row_53745_column_104841,1,1
-1,1,-1,-1,1,-1,-1,CasoHEProstata_A_0058_row_53745_column_106889,1,1
-1,-1,-1,0,2,-1,2,CasoHEProstata_A_0058_row_53745_column_108937,2,2
-1,2,-1,-1,-1,3,-1,CasoHEProstata_A_0058_row_53745_column_110985,2,3
-1,-1,0,-1,-1,-1,3,CasoHEProstata_A_0058_row_55793_column_104841,3,0
-1,1,-1,0,-1,-1,-1,CasoHEProstata_A_0058_row_55793_column_106889,1,1
2,1,-1,-1,-1,0,-1,CasoHEProstata_A_0058_row_57841_column_104841,2,0
-1,0,-1,-1,-1,-1,2,CasoHEProstata_A_0060_row_22528_column_116736,2,0
-1,-1,2,-1,-1,-1,-1,CasoHEProstata_A_0060_row_24576_column_116736,2,2
-1,-1,-1,-1,1,2,-1,CasoHEProstata_A_0060_row_24576_column_120832,2,2
3,1,-1,2,-1,-1,-1,CasoHEProstata_A_0060_row_24576_column_122880,3,2
-1,-1,-1,-1,1,-1,-1,CasoHEProstata_A_0060_row_24576_column_124928,1,1
2,-1,-1,-1,-1,-1,2,CasoHEProstata_A_0060_row_26624_column_100352,2,2
-1,-1,-1,2,1,-1,-1,CasoHEProstata_A_0060_row_26624_column_118784,2,2
-1,-1,-1,2,2,-1,-1,CasoHEProstata_A_0060_row_26624_column_120832,2,2
-1,1,-1,-1,-1,2,-1,CasoHEProstata_A_0060_row_26624_column_122880,2,2
-1,-1,1,-1,-1,-1,2,CasoHEProstata_A_0060_row_26624_column_124928,2,1
-1,-1,-1,-1,1,-1,2,CasoHEProstata_A_0060_row_26624_column_96256,2,1
2,-1,2,-1,-1,-1,2,CasoHEProstata_A_0060_row_26624_column_98304,2,2
-1,-1,1,-1,-1,2,-1,CasoHEProstata_A_0060_row_28672_column_100352,2,1
-1,-1,-1,2,-1,2,-1,CasoHEProstata_A_0060_row_28672_column_102400,2,2
2,1,-1,-1,1,-1,-1,CasoHEProstata_A_0060_row_28672_column_104448,1,2
-1,-1,-1,-1,0,-1,2,CasoHEProstata_A_0060_row_28672_column_96256,2,0
2,-1,-1,-1,1,-1,2,CasoHEProstata_A_0060_row_28672_column_98304,2,2
1,-1,-1,-1,1,-1,-1,CasoHEProstata_A_0060_row_30720_column_102400,1,1
-1,1,1,-1,-1,-1,-1,CasoHEProstata_A_0060_row_30720_column_104448,1,1
3,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0060_row_30720_column_108544,3,3
-1,-1,0,-1,0,-1,-1,CasoHEProstata_A_0060_row_30720_column_110592,0,0
-1,1,-1,0,-1,-1,-1,CasoHEProstata_A_0060_row_32768_column_104448,1,1
-1,-1,1,-1,1,-1,-1,CasoHEProstata_A_0060_row_32768_column_106496,1,1
-1,-1,-1,-1,1,-1,-1,CasoHEProstata_A_0060_row_32768_column_110592,1,1
-1,0,-1,-1,-1,0,-1,CasoHEProstata_A_0060_row_32768_column_112640,0,0
1,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0060_row_34816_column_108544,1,0
2,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0060_row_34816_column_110592,2,0
-1,-1,0,0,-1,-1,-1,CasoHEProstata_A_0060_row_34816_column_112640,0,0
-1,-1,0,-1,-1,-1,0,CasoHEProstata_A_0063_row_25958_column_97743,0,0
-1,-1,-1,2,-1,2,-1,CasoHEProstata_A_0063_row_25958_column_99791,2,2
-1,-1,-1,-1,-1,0,2,CasoHEProstata_A_0063_row_28006_column_97743,2,0
-1,-1,-1,-1,-1,2,2,CasoHEProstata_A_0063_row_30054_column_118223,2,2
-1,-1,-1,0,0,0,-1,CasoHEProstata_A_0063_row_30054_column_128463,0,0
-1,1,2,-1,-1,-1,2,CasoHEProstata_A_0063_row_30054_column_97743,2,2
1,-1,-1,2,-1,2,-1,CasoHEProstata_A_0063_row_30054_column_99791,2,2
-1,-1,-1,1,-1,-1,2,CasoHEProstata_A_0063_row_32102_column_116175,2,1
-1,-1,-1,-1,2,1,-1,CasoHEProstata_A_0063_row_32102_column_128463,2,2
-1,-1,0,-1,-1,0,-1,CasoHEProstata_A_0063_row_32102_column_97743,0,0
-1,-1,-1,-1,1,-1,2,CasoHEProstata_A_0063_row_32102_column_99791,2,1
1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0063_row_34150_column_101839,1,1
-1,1,2,2,-1,-1,-1,CasoHEProstata_A_0063_row_34150_column_114127,2,2
-1,1,2,-1,1,-1,-1,CasoHEProstata_A_0063_row_34150_column_116175,1,2
-1,-1,-1,-1,1,1,-1,CasoHEProstata_A_0063_row_34150_column_128463,1,1
-1,-1,-1,0,-1,2,-1,CasoHEProstata_A_0063_row_34150_column_130511,2,2
